drug,miRNA,disease
DB00773,let-7c,D003924
DB00773,let-7c,D000072660
DB00773,let-7c,D012175
DB00773,let-7c,D018239
DB00773,let-7c,D010300
DB00773,let-7c,D003110
DB00773,let-7c,D018805
DB00773,let-7c,D012516
DB00773,let-7c,D017544
DB00773,let-7c,D014657
DB00773,let-7c,D013981
DB00773,let-7c,D006949
DB00773,let-7c,D008228
DB00773,let-7c,D008113
DB00773,let-7c,D008103
DB00773,let-7c,D018281
DB00773,let-7c,D002658
DB00773,let-7c,D006333
DB00773,let-7c,D008268
DB00773,let-7c,D003930
DB00773,let-7c,D006689
DB00773,let-7c,D058922
DB00773,let-7c,D002561
DB00773,let-7c,D009190
DB00773,let-7c,D010505
DB00773,let-7c,D066126
DB00773,let-7c,D013119
DB00773,let-7c,D007674
DB00773,let-7c,D006526
DB00773,let-7c,D016640
DB00773,let-7c,D001661
DB00773,let-7c,D002318
DB00773,let-7c,D007246
DB00773,let-7c,D053713
DB00773,let-7c,D002779
DB00773,let-7c,D024821
DB00773,let-7c,D006323
DB00773,let-7c,D050500
DB00773,let-7c,D008223
DB00773,let-7c,D015459
DB00773,let-7c,D009133
DB00773,let-7c,D003865
DB00773,let-7c,D064726
DB00773,let-7c,D015433
DB00773,let-7c,D009767
DB00773,let-7c,D001281
DB00773,let-7c,D007249
DB00773,let-7c,D001022
DB00773,let-7c,D015451
DB00773,let-7c,D006457
DB00773,let-7c,D055959
DB00773,let-7c,D012164
DB00773,let-7c,D006332
DB00773,let-7c,D000075222
DB00773,let-7c,D013964
DB00773,let-7c,D000077274
DB00773,let-7c,D020371
DB00773,let-7c,D006402
DB00773,let-7c,D010911
DB00773,let-7c,D011085
DB00773,let-7c,D012509
DB00773,let-7c,D010182
DB00773,let-7c,D011230
DB00773,let-7c,D007333
DB00773,let-7c,D001008
DB00773,let-7c,D001523
DB00773,let-7c,D010922
DB00773,let-7c,D019970
DB00773,let-7c,D011658
DB00773,let-7c,D019636
DB00773,let-7c,D003922
DB00773,let-7c,D008107
DB00773,let-7c,D020345
DB00773,let-7c,D005922
DB00773,let-7c,D012128
DB00773,let-7c,D005355
DB00773,let-7c,D001327
DB00773,let-7c,D055370
DB00773,let-7c,D000437
DB00773,let-7c,D005909
DB00773,let-7c,D012595
DB00773,let-7c,D058065
DB00773,let-7c,D011671
DB00773,let-7c,C535608
DB00773,let-7c,D000083242
DB00773,let-7c,D000236
DB00773,let-7c,C537017
DB00773,let-7c,D060825
DB00773,let-7c,D009103
DB00773,let-7c,D003424
DB00773,let-7c,D013921
DB00773,let-7c,D011655
DB00773,let-7c,D009442
DB00773,let-7c,D015535
DB00773,let-7c,D053201
DB00773,let-7c,D015464
DB00773,let-7c,D003324
DB00773,let-7c,D004715
DB00773,let-7c,D054198
DB00773,let-7c,D003327
DB00773,let-7c,D004833
DB00773,let-7c,D004827
DB00773,let-7c,D005317
DB00773,let-7c,D006976
DB00773,let-7c,D006561
DB00773,let-7c,D016543
DB00773,let-7c,D015470
DB00773,let-7c,D008527
DB00773,let-7c,D002294
DB00773,let-7c,D052016
DB00773,let-7c,D065626
DB00773,let-7c,D009447
DB00773,let-7c,D006223
DB00773,let-7c,D016393
DB00773,let-7c,C535531
DB00773,let-7c,D063647
DB00773,let-7c,D002446
DB00773,let-7c,D014277
DB00773,let-7c,D002280
DB00773,let-7c,D010534
DB00773,let-7c,D015427
DB00773,let-7c,D014605
DB00773,let-7c,D017086
DB00773,let-7c,D003072
DB00773,let-7c,D005706
DB00773,let-7c,D000860
DB00773,let-7c,D002278
DB00773,let-7c,D007511
DB00773,let-7c,D008288
DB00773,let-7c,D014890
DB00773,let-7c,D003876
DB00773,let-7c,D065627
DB00773,let-7c,D007248
DB00773,let-7c,D003323
DB00773,let-7c,D000755
DB00773,let-7c,D054058
DB00773,let-7c,D004938
DB00773,let-7c,D004719
DB00773,let-7c,D011014
DB00773,let-7c,D050171
DB00773,let-7c,D000690
DB00773,let-7c,D055113
DB00773,let-7c,D011470
DB00773,let-7c,D009202
DB00773,let-7c,D014947
DB00773,let-7c,D014652
DB00773,let-7c,D056735
DB00773,let-7c,D008180
DB00773,let-7b,D034701
DB00773,let-7b,D006566
DB00773,let-7b,D056770
DB00773,let-7b,D000795
DB00773,let-7b,D007822
DB00773,let-7b,D004769
DB00773,let-7b,D002296
DB00773,let-7b,D009298
DB00773,let-7b,D010505
DB00773,let-7b,D014376
DB00773,let-7b,D011236
DB00773,let-7b,D010520
DB00773,let-7b,D001661
DB00773,let-7b,D015433
DB00773,let-7b,D001228
DB00773,let-7b,D020370
DB00773,let-7b,D000751
DB00773,let-7b,D018218
DB00773,let-7b,D000163
DB00773,let-7b,D006509
DB00773,let-7b,D058249
DB00773,let-7b,D004806
DB00773,let-7b,D011671
DB00773,let-7b,C535608
DB00773,let-7b,C562602
DB00773,let-7b,D017545
DB00773,let-7b,D014929
DB00773,let-7b,D018269
DB00773,let-7b,D013272
DB00773,let-7b,D010001
DB00773,let-7b,D009080
DB00773,let-7b,D057765
DB00773,let-7b,D018979
DB00773,let-7b,D010518
DB00773,let-7g,D034701
DB00773,let-7g,D006566
DB00773,let-7g,D056770
DB00773,let-7g,D000795
DB00773,let-7g,D004769
DB00773,let-7g,D013981
DB00773,let-7g,D002296
DB00773,let-7g,D009298
DB00773,let-7g,D014376
DB00773,let-7g,D011236
DB00773,let-7g,D010520
DB00773,let-7g,D001661
DB00773,let-7g,D000081029
DB00773,let-7g,D015433
DB00773,let-7g,D001228
DB00773,let-7g,D020370
DB00773,let-7g,D000751
DB00773,let-7g,D018218
DB00773,let-7g,D001289
DB00773,let-7g,D012173
DB00773,let-7g,D000163
DB00773,let-7g,D006509
DB00773,let-7g,D058249
DB00773,let-7g,D004806
DB00773,let-7g,D011671
DB00773,let-7g,C535608
DB00773,let-7g,C536494
DB00773,let-7g,D014397
DB00773,let-7g,D009456
DB00773,let-7g,D012859
DB00773,let-7g,D059226
DB00773,let-7g,D013272
DB00773,let-7g,D010001
DB00773,let-7g,D009080
DB00773,let-7g,D057765
DB00773,let-7g,C536629
DB00773,let-7g,D018979
DB00773,let-7g,D010518
DB00773,let-7i,D034701
DB00773,let-7i,D006566
DB00773,let-7i,D000795
DB00773,let-7i,D004769
DB00773,let-7i,D013981
DB00773,let-7i,D002296
DB00773,let-7i,D009298
DB00773,let-7i,D010505
DB00773,let-7i,D011236
DB00773,let-7i,D010520
DB00773,let-7i,D001661
DB00773,let-7i,D000081029
DB00773,let-7i,D015433
DB00773,let-7i,D001228
DB00773,let-7i,D020370
DB00773,let-7i,D000751
DB00773,let-7i,D018218
DB00773,let-7i,D001289
DB00773,let-7i,D012173
DB00773,let-7i,D000163
DB00773,let-7i,D006509
DB00773,let-7i,D058249
DB00773,let-7i,D004806
DB00773,let-7i,D011671
DB00773,let-7i,C535608
DB00773,let-7i,C536494
DB00773,let-7i,D014397
DB00773,let-7i,D009456
DB00773,let-7i,D012859
DB00773,let-7i,D059226
DB00773,let-7i,C562602
DB00773,let-7i,D017545
DB00773,let-7i,D014929
DB00773,let-7i,D018269
DB00773,let-7i,C536629
DB00773,let-7i,D018979
DB00773,let-7i,D010518
DB00773,let-7f,D003920
DB00773,let-7f,D008175
DB00773,let-7f,D000544
DB00773,let-7f,D010003
DB00773,let-7f,D002357
DB00773,let-7f,D058186
DB00773,let-7f,D005757
DB00773,let-7f,D056770
DB00773,let-7f,D006967
DB00773,let-7f,D003872
DB00773,let-7f,D000077273
DB00773,let-7f,D020964
DB00773,let-7f,D000077277
DB00773,let-7f,D011225
DB00773,let-7f,D012559
DB00773,let-7f,D002583
DB00773,let-7f,D000086382
DB00773,let-7f,D000072660
DB00773,let-7f,D012175
DB00773,let-7f,D008171
DB00773,let-7f,D000077195
DB00773,let-7f,D018239
DB00773,let-7f,D010300
DB00773,let-7f,D018805
DB00773,let-7f,D014657
DB00773,let-7f,D013981
DB00773,let-7f,D006949
DB00773,let-7f,D008228
DB00773,let-7f,D008113
DB00773,let-7f,D018281
DB00773,let-7f,D002658
DB00773,let-7f,D006333
DB00773,let-7f,D013274
DB00773,let-7f,D008268
DB00773,let-7f,D003930
DB00773,let-7f,D006689
DB00773,let-7f,D002386
DB00773,let-7f,D058922
DB00773,let-7f,D001172
DB00773,let-7f,D009190
DB00773,let-7f,D013119
DB00773,let-7f,D007674
DB00773,let-7f,D010520
DB00773,let-7f,D006526
DB00773,let-7f,D016640
DB00773,let-7f,D002318
DB00773,let-7f,D007246
DB00773,let-7f,D053713
DB00773,let-7f,D002779
DB00773,let-7f,D024821
DB00773,let-7f,D006323
DB00773,let-7f,D050500
DB00773,let-7f,D005910
DB00773,let-7f,D009133
DB00773,let-7f,D003865
DB00773,let-7f,D029424
DB00773,let-7f,D009767
DB00773,let-7f,D001281
DB00773,let-7f,D003928
DB00773,let-7f,D007249
DB00773,let-7f,D015451
DB00773,let-7f,D006457
DB00773,let-7f,D055959
DB00773,let-7f,D006332
DB00773,let-7f,D000075222
DB00773,let-7f,D013964
DB00773,let-7f,D000077274
DB00773,let-7f,D020371
DB00773,let-7f,D006402
DB00773,let-7f,D010911
DB00773,let-7f,D011085
DB00773,let-7f,D012509
DB00773,let-7f,D010182
DB00773,let-7f,D011230
DB00773,let-7f,D007333
DB00773,let-7f,D001008
DB00773,let-7f,D001523
DB00773,let-7f,D010922
DB00773,let-7f,D019970
DB00773,let-7f,D019636
DB00773,let-7f,D004314
DB00773,let-7f,D003922
DB00773,let-7f,D008107
DB00773,let-7f,D020345
DB00773,let-7f,D005922
DB00773,let-7f,D012128
DB00773,let-7f,D005355
DB00773,let-7f,D001327
DB00773,let-7f,D000437
DB00773,let-7f,D012595
DB00773,let-7f,D058065
DB00773,let-7f,D020961
DB00773,let-7f,D011832
DB00773,let-7f,D008269
DB00773,let-7f,D002545
DB00773,let-7f,D002972
DB00773,let-7f,D054990
DB00773,let-7f,D016889
DB00773,let-7f,D009157
DB00773,let-7f,D000026
DB00773,let-7f,D064129
DB00773,let-7f,D006973
DB00773,let-7f,D058226
DB00773,let-7f,D000077192
DB00773,let-7f,D015212
DB00773,let-7f,D020388
DB00773,let-7f,D015428
DB00773,let-7f,D017379
DB00773,let-7f,D010190
DB00773,let-7f,D009062
DB00773,let-7f,D014029
DB00773,let-7f,D002295
DB00773,let-7f,D000083242
DB00773,let-7f,D000236
DB00773,let-7f,C537017
DB00773,let-7f,D060825
DB00773,let-7f,D003424
DB00773,let-7f,D013921
DB00773,let-7f,D011655
DB00773,let-7f,D009442
DB00773,let-7f,D015535
DB00773,let-7f,D053201
DB00773,let-7f,D015464
DB00773,let-7f,D004715
DB00773,let-7f,D054198
DB00773,let-7f,D003327
DB00773,let-7f,D004833
DB00773,let-7f,D004827
DB00773,let-7f,D005317
DB00773,let-7f,D006976
DB00773,let-7f,D006561
DB00773,let-7f,D016543
DB00773,let-7f,D015470
DB00773,let-7f,D008527
DB00773,let-7f,D002294
DB00773,let-7f,D052016
DB00773,let-7f,D065626
DB00773,let-7f,D009447
DB00773,let-7f,D006223
DB00773,let-7f,D016393
DB00773,let-7f,C535531
DB00773,let-7f,D063647
DB00773,let-7f,D002446
DB00773,let-7f,D014277
DB00773,let-7f,D010534
DB00773,let-7f,D015427
DB00773,let-7f,D014605
DB00773,let-7f,D017086
DB00773,let-7f,D003072
DB00773,let-7f,D005706
DB00773,let-7f,D000860
DB00773,let-7f,D002278
DB00773,let-7f,D007511
DB00773,let-7f,D008288
DB00773,let-7f,D014890
DB00773,let-7f,D003876
DB00773,let-7f,D065627
DB00773,let-7f,D007248
DB00773,let-7f,D003323
DB00773,let-7f,D000755
DB00773,let-7f,D054058
DB00773,let-7f,D004938
DB00773,let-7f,C536629
DB00773,let-7f,D018979
DB00773,let-7f,D010518
DB03843,let-7a,D020370
DB03843,let-7a,D006457
DB03843,let-7a,D000751
DB03843,let-7a,D020371
DB03843,let-7a,D018218
DB03843,let-7a,D004806
DB03843,let-7a,D008659
DB03843,let-7a,C537017
DB03843,let-7a,D009456
DB03843,let-7a,D006561
DB03843,let-7a,C535531
DB03843,let-7a,C562602
DB03843,let-7a,D014929
DB03843,let-7a,D018269
DB03843,let-7a,D014890
DB03843,let-7a,C536629
DB03843,let-7a,D011470
DB03843,let-7e,D034701
DB03843,let-7e,D006566
DB03843,let-7e,D000072716
DB03843,let-7e,D056770
DB03843,let-7e,D012175
DB03843,let-7e,D007822
DB03843,let-7e,D009298
DB03843,let-7e,D010505
DB03843,let-7e,D010520
DB03843,let-7e,D018218
DB03843,let-7e,D004806
DB03843,let-7e,D008659
DB03843,let-7e,C537017
DB03843,let-7e,D009456
DB03843,let-7e,D006561
DB03843,let-7e,C535531
DB03843,let-7e,C562602
DB03843,let-7e,D014929
DB03843,let-7e,D018269
DB03843,let-7e,D014890
DB03843,let-7e,C536629
DB03843,let-7e,D011470
DB03843,let-7d,D034701
DB03843,let-7d,D006566
DB03843,let-7d,D000072716
DB03843,let-7d,D056770
DB03843,let-7d,D012175
DB03843,let-7d,D007822
DB03843,let-7d,D013981
DB03843,let-7d,D009298
DB03843,let-7d,D010505
DB03843,let-7d,D010520
DB03843,let-7d,D020370
DB03843,let-7d,D006457
DB03843,let-7d,D000751
DB03843,let-7d,D020371
DB03843,let-7d,D008659
DB03843,let-7d,C537017
DB03843,let-7d,D009456
DB03843,let-7d,D006561
DB03843,let-7d,C535531
DB03843,let-7d,C562602
DB03843,let-7d,D014929
DB03843,let-7d,D018269
DB03843,let-7d,D014890
DB03843,let-7d,C536629
DB03843,let-7d,D011470
DB03843,let-7c,D034701
DB03843,let-7c,D006566
DB03843,let-7c,D000072716
DB03843,let-7c,D056770
DB03843,let-7c,D012175
DB03843,let-7c,D007822
DB03843,let-7c,D009298
DB03843,let-7c,D011236
DB03843,let-7c,D010520
DB03843,let-7c,D000081029
DB03843,let-7c,D020370
DB03843,let-7c,D006457
DB03843,let-7c,D000751
DB03843,let-7c,D020371
DB03843,let-7c,D018218
DB03843,let-7c,D004806
DB03843,let-7c,C537017
DB03843,let-7c,D009456
DB03843,let-7c,D006561
DB03843,let-7c,C535531
DB03843,let-7c,C562602
DB03843,let-7c,D014929
DB03843,let-7c,D018269
DB03843,let-7c,D014890
DB03843,let-7c,C536629
DB03843,let-7c,D011470
DB03843,let-7b,D034701
DB03843,let-7b,D006566
DB03843,let-7b,D000072716
DB03843,let-7b,D056770
DB03843,let-7b,D012175
DB03843,let-7b,D007822
DB03843,let-7b,D009298
DB03843,let-7b,D010505
DB03843,let-7b,D011236
DB03843,let-7b,D010520
DB03843,let-7b,D020370
DB03843,let-7b,D006457
DB03843,let-7b,D000751
DB03843,let-7b,D020371
DB03843,let-7b,D018218
DB03843,let-7b,D004806
DB03843,let-7b,D008659
DB03843,let-7b,C535531
DB03843,let-7b,C562602
DB03843,let-7b,D014929
DB03843,let-7b,D018269
DB03843,let-7b,D014890
DB03843,let-7b,D011470
DB03843,let-7g,D034701
DB03843,let-7g,D006566
DB03843,let-7g,D000072716
DB03843,let-7g,D056770
DB03843,let-7g,D012175
DB03843,let-7g,D013981
DB03843,let-7g,D009298
DB03843,let-7g,D011236
DB03843,let-7g,D010520
DB03843,let-7g,D000081029
DB03843,let-7g,D020370
DB03843,let-7g,D006457
DB03843,let-7g,D000751
DB03843,let-7g,D020371
DB03843,let-7g,D018218
DB03843,let-7g,D004806
DB03843,let-7g,D008659
DB03843,let-7g,C537017
DB03843,let-7g,D009456
DB03843,let-7g,D006561
DB03843,let-7g,D014890
DB03843,let-7g,C536629
DB03843,let-7g,D011470
DB03843,let-7i,D034701
DB03843,let-7i,D006566
DB03843,let-7i,D000072716
DB03843,let-7i,D012175
DB03843,let-7i,D013981
DB03843,let-7i,D009298
DB03843,let-7i,D010505
DB03843,let-7i,D011236
DB03843,let-7i,D010520
DB03843,let-7i,D000081029
DB03843,let-7i,D020370
DB03843,let-7i,D006457
DB03843,let-7i,D000751
DB03843,let-7i,D020371
DB03843,let-7i,D018218
DB03843,let-7i,D004806
DB03843,let-7i,D008659
DB03843,let-7i,C537017
DB03843,let-7i,D009456
DB03843,let-7i,D006561
DB03843,let-7i,C535531
DB03843,let-7i,C562602
DB03843,let-7i,D014929
DB03843,let-7i,D018269
DB03843,let-7i,C536629
DB03843,let-7i,D011470
DB03843,let-7f,D034701
DB03843,let-7f,D006566
DB03843,let-7f,D012175
DB03843,let-7f,D007822
DB03843,let-7f,D009298
DB03843,let-7f,D010505
DB03843,let-7f,D011236
DB03843,let-7f,D000081029
DB03843,let-7f,D020370
DB03843,let-7f,D006457
DB03843,let-7f,D000751
DB03843,let-7f,D020371
DB03843,let-7f,D018218
DB03843,let-7f,D004806
DB03843,let-7f,C537017
DB03843,let-7f,D009456
DB03843,let-7f,D006561
DB03843,let-7f,C535531
DB03843,let-7f,C562602
DB03843,let-7f,D014929
DB03843,let-7f,D018269
DB03843,let-7f,D014890
DB00331,let-7a,D001228
DB00331,let-7a,D020370
DB00331,let-7a,D006457
DB00331,let-7a,D000751
DB00331,let-7a,D020371
DB00331,let-7a,D018218
DB00331,let-7a,D001289
DB00331,let-7a,D012173
DB00331,let-7a,D058249
DB00331,let-7a,D004806
DB00331,let-7a,D064129
DB00331,let-7a,D011671
DB00331,let-7a,C535608
DB00331,let-7a,C537017
DB00331,let-7a,C536494
DB00331,let-7a,D009442
DB00331,let-7a,D009456
DB00331,let-7a,D006561
DB00331,let-7a,D059226
DB00331,let-7a,C535531
DB00331,let-7a,C562602
DB00331,let-7a,D014929
DB00331,let-7a,D018269
DB00331,let-7a,D014890
DB00331,let-7a,D065627
DB00331,let-7a,D003323
DB00331,let-7a,D009080
DB00331,let-7a,D057765
DB00331,let-7a,C536629
DB00331,let-7a,D018979
DB00331,let-7a,D055113
DB00331,let-7e,D008175
DB00331,let-7e,D002357
DB00331,let-7e,D058186
DB00331,let-7e,D005757
DB00331,let-7e,D000072716
DB00331,let-7e,D006967
DB00331,let-7e,D003872
DB00331,let-7e,D020964
DB00331,let-7e,D000077277
DB00331,let-7e,D011225
DB00331,let-7e,D012559
DB00331,let-7e,D010024
DB00331,let-7e,D002583
DB00331,let-7e,D000072660
DB00331,let-7e,D008171
DB00331,let-7e,D018239
DB00331,let-7e,D010300
DB00331,let-7e,D008545
DB00331,let-7e,D003110
DB00331,let-7e,D018805
DB00331,let-7e,D012516
DB00331,let-7e,D017544
DB00331,let-7e,D014657
DB00331,let-7e,D001249
DB00331,let-7e,D004769
DB00331,let-7e,D013981
DB00331,let-7e,D006949
DB00331,let-7e,D008228
DB00331,let-7e,D008103
DB00331,let-7e,D018281
DB00331,let-7e,D002296
DB00331,let-7e,D002658
DB00331,let-7e,D006333
DB00331,let-7e,D008268
DB00331,let-7e,D003930
DB00331,let-7e,D006689
DB00331,let-7e,D002386
DB00331,let-7e,D000077216
DB00331,let-7e,D058922
DB00331,let-7e,D009298
DB00331,let-7e,D001172
DB00331,let-7e,D002561
DB00331,let-7e,D009190
DB00331,let-7e,D014376
DB00331,let-7e,D066126
DB00331,let-7e,D013119
DB00331,let-7e,D009101
DB00331,let-7e,D007674
DB00331,let-7e,D011236
DB00331,let-7e,D010520
DB00331,let-7e,D006526
DB00331,let-7e,D016640
DB00331,let-7e,D011471
DB00331,let-7e,D002318
DB00331,let-7e,D053713
DB00331,let-7e,D002779
DB00331,let-7e,D024821
DB00331,let-7e,D006323
DB00331,let-7e,D008223
DB00331,let-7e,D015459
DB00331,let-7e,D001749
DB00331,let-7e,D029424
DB00331,let-7e,D064726
